name,visibility,sport_type,start_date_local,timezone,athlete_count,achievement_count,pr_count,total_miles,elevation_gain_ft,average_speed,max_speed,moving_time_sec,elapsed_time_sec,elev_high_ft,elev_low_ft,map.id,map.resource_state,map.summary_polyline,lat,lng,end_latlng1,end_latlng2,has_heartrate,average_heartrate,gear_id,max_heartrate,kudos_count,comment_count,athlete.id,upload_id,upload_id_str,external_id,id,private,start_date,utc_offset
Last very dark pre-work hike for a while,everyone,Hike,2022-11-04T05:54:41Z,(GMT-08:00) America/Los_Angeles,1,0,0,5.33,1413.39,5.2416,9.0756,5887,7068,2220.47,976.71,a8067470670,2,cljqEjltyU]k@MI}@wBc@sBo@y@WE[Tw@Rm@O}@b@QEK]?m@V_AFw@Cw@Oy@q@s@O?e@T]?mAe@AYf@mBA[]u@}@i@GU@o@EYa@k@o@[[uAUBk@XqAbAc@DEUBU\iAFeBIc@Ya@i@@QEEIBa@EO{@g@UYE[SUiAa@GK@MFG|@YPe@Ae@m@CKSBOl@}@?m@e@wA[g@Dm@AaAESQYYOu@B[k@w@?IYGaA_@QIKCe@Jk@?a@AYUy@Zw@m@iAAg@VOb@FHC^gBL]NGLNX~A`@dAJ@VSh@IDKIo@e@sACg@PeA`@uA`@oAVWTVTp@Fb@HFt@AFICWSGOSAKDIl@AZ_@PIpAHTN^pATh@fAp@JALMCF[SMSc@sBD]CSa@w@Ck@Hs@Gm@Pm@E]O]mA}@QSWgA[k@OaA_AbAe@Li@BgCtBs@`@Q?c@[k@OIS?U|@a@v@y@LU?]C_@g@mAMK]@OG}@}@@gBYmAJY@J@GGC@HCGBCBDE@?G?HCKLDCF?IALJCOLJ|@JBEd@@jAb@^T`@~@Nl@vBI`@u@p@ITu@PKT?Vp@Tv@`@pB{ARGBIl@g@VKf@A\Oh@m@P@Nl@Xl@^pAj@Xl@j@Vr@?NQh@Fl@Mj@@b@F\^h@?`APfARl@R@NPWJeAk@m@}AIe@YSe@Da@MOFW^QHi@CGJBH`@XFLARGD{@GKk@[{@MGSXg@vAW|@WnA@b@b@pAHr@EPc@B]VICEUW]KYMoASSSFc@`Co@CQJEXBRb@x@BXGFK?q@]UHH~@?^U|@@FVJDNC\Db@Ul@ATH^`@l@NlAFtAGVMDAHJLD^Z~@?TH`@ZPDJIT]DGTFRQr@@^x@`@T`@VP?\X?VPh@`B\Nx@t@P\DjAN\HKJiAb@s@lAk@l@HTp@AbBE`@a@`A?VDPZGf@i@l@_@z@_@PDJp@Ld@l@Vb@p@D^KTDXPTp@Xh@~@ARk@jBBZr@Xr@Hp@Y~@dAH~@Bn@CZ_@nABt@FXP@t@a@x@NpAi@PBv@x@^zBx@|ADTh@|@,34.4641335401684,-119.712437745184,34.4641492981464,-119.712434895337,FALSE,NA,NA,NA,8,0,65231186,8635015777,8635015777,F918EBD0-363D-4CA1-B522-76A44A6D54B8-activity.fit,8067470670,FALSE,2022-11-04T12:54:41Z,-25200
Post-dog vom bliss,everyone,Hike,2022-10-29T09:50:38Z,(GMT-08:00) America/Los_Angeles,1,0,0,8.91,1070.54,5.292,17.2548,9755,10924,2571.19,1514.11,a8038897034,2,eowvEd|g_Vg@RId@DlASTo@H_@]G]ZoB@mAp@aAx@cCXAf@^p@IfDmHj@?`AhAfAO\sCnAKd@m@B_@g@yADWrAy@nB^V]f@}BlBO^q@A{BRWjBm@JWAe@z@qBp@g@bAfAfAGx@_AFu@d@eAtAwACHc@Wt@Ib@a@GNp@AdAh@j@^K@t@N`@Sl@aB?w@[eAD_@x@_AfBIXc@QuAeB}BJgAhAeBAu@Sy@QKFIDFMA`@Sr@KxArAp@FZ]NmBXe@XKfAV`@GRo@v@e@pA[xAO~@qC`CqAjA}A`A?\YFq@I]oBwAHwBe@oBP_BuAoANqAd@{@`@[Lk@hDkAjAcBdAi@pAmC|@gApCwAVDTZL|@Et@P~@dAb@v@w@~@_@r@mAjAgAlEmBjBEfAZ~@COFH@t@CzC]~Am@p@KRBzBaAz@GhB_AjBOf@u@ZsAjFmEzAgCpAaArAaChBIVRj@Gv@d@TKvAT~BqA^@BOhAR\?`Au@p@iADe@`@]Fm@TOmAiAcBw@w@uBq@g@Py@WcBP[b@GdChAWl@a@HEc@p@COTFQCMETUDAl@QFRJI`@PWQsAf@IELL[ETIGJHi@DZF^Q?UgCiAi@\?tBKLF^|@^l@tBtBfA`@t@Ex@a@j@c@rAsAlAeBUk@R{@t@mA\iFaAsARaC`DcAh@u@bBwCpCoBxAi@lBc@\iALmAn@mBVkBz@cE`AaAG_B^aE_@wALaBx@oAVu@r@mAnBcCzAi@Kc@o@HUCqAWaA]KcAVuBxAgBbDwA~@cA|AgDtAg@bAi@Ne@zAr@n@d@n@DXWdA`@hA?rCtBhBHd@Qn@a@Vw@Am@f@Kf@uAj@[TG\k@J[f@OxAOP_CTeAf@q@z@gBMg@r@IvA]b@m@C{AkA{@TETI?EI\r@BhAOn@_AnAC^hBlCPhAWn@uBDk@z@KXX~@AjAi@vAk@T}A}@yA]i@^Yl@uAdAWl@I`Aa@l@eAb@qAiAe@D}@bB]dB}Bx@If@FtA[p@iBTm@~BWZm@Fu@m@}Ax@Cj@VTPlAg@r@}AZWxBm@b@]?y@iAu@Aw@fCwAhCi@^kAWWR}@bCe@`@DxAW|ABd@p@Zf@SJg@Ow@Xa@,35.3501281142235,-120.631788354367,35.3503794036806,-120.632103094831,FALSE,NA,g9707381,NA,6,0,65231186,8602520242,8602520242,5074ABC9-8102-4160-889C-654C54687B2A-activity.fit,8038897034,FALSE,2022-10-29T16:50:38Z,-25200
One dark solo hike & a disco potato guide 🐕🥔✨,everyone,Hike,2022-10-21T06:10:25Z,(GMT-08:00) America/Los_Angeles,1,0,0,5.29,1422.24,5.2848,9.979199999999999,5800,6448,2220.47,970.8,a7997353889,2,_kjqEtltyUa@Ai@y@{@oBi@eCu@q@Y?YPq@Nm@O{@b@S@KqAPc@Lo@AaAOkAs@u@QAeAJeAWCQ^wBBk@c@o@m@QIKI_@AaAa@o@g@Wc@uAY?oAl@c@`@q@FGOLQ\gAB}AEs@WY{@IIu@iAw@Qk@OQiA]IM@KJKz@WRg@@SGSg@AOQBKj@{@Bm@Ki@UYa@eABi@Ce@DYI_@a@c@y@F]o@s@@KUAk@GWe@WGQAUP}@Ca@YgARYF_@g@kACWDSTIh@@\oB\WNNPxA`@|@NHd@SVCBSGu@Ws@Mu@J}@`@{A`@kAV]L@RVPl@@f@N@j@AJG?Uc@_@AQDEr@CT_@TIlAHTPh@dBTZ|@h@\OCFc@UQ[WuA?{@GOW[EYEc@Lm@Ei@Ns@AWM]g@k@s@e@W{@e@cAQu@YHSb@UPUHa@EQDs@t@iA|@{@l@iBy@CQH]z@e@f@g@R[BWG]e@kAMKk@IUc@k@[BeBQaADg@EJHKIC?J?GBBEE?H@KB@?J@GCJHGMLXxA?`BZXVb@NH`@@PP^z@Hb@C^m@n@Wb@S@c@PCb@DHxAp@d@U^UZa@VIn@q@h@WTBh@I\c@FQNGHB^nAR^XdAp@VNV\XN`@@LQv@Fh@Or@@h@f@|@@~@X|ALRXJ@JEJK@gAq@k@}AKc@KM}@CWGOHW`@MHm@ICFDRb@`@ANIJw@EYiAU_@GCY`@Q|@Sj@Uh@Kl@AbA^`AHt@GZe@@QVMAKY[]MuAWa@Wd@Mf@ATSf@q@IMHCZ`@z@Hj@Sl@Gg@c@YUBCRFV?x@Ut@BJRLD^Bn@Sp@@h@b@r@PfAFtAOr@d@dBDp@FPPFJNIR]BEXBPMn@?\v@f@^d@LP?VV@TLt@hBRF\^VLVb@HhAJ^JK^iB\_@hA[`@HVbAAhAQx@Sb@A`@FTb@Kv@s@dAo@T?FJJx@TZ^N`@n@F\Ej@FVv@\h@|@B`@Ol@Wh@EVDPXNz@NRAx@Qr@~@N`CO|@Qd@FjAhAa@v@H`@Gv@_@LDr@v@b@|Bz@nBPPXj@TD,34.4640219770372,-119.712350238115,34.4640680775046,-119.712401451543,FALSE,NA,NA,NA,6,0,65231186,8555418914,8555418914,378C5F7C-0729-46A9-BCC2-14309B78E953-activity.fit,7997353889,FALSE,2022-10-21T13:10:25Z,-25200
"Just a really wonderful, solid morning 🤌",everyone,Hike,2022-10-16T07:18:21Z,(GMT-08:00) America/Los_Angeles,2,8,0,11.04,3714.24,4.6296,24.026400000000002,13812,16664,3952.43,864.5,a7974224733,2,k}iqEdbtyUu@TuBjCkBXsB`CkAXgByD[{B_A{@sCVwA^GqAb@}ASeCu@u@wAT_Ac@VyADmA_BwAIeBkAcAc@_B}DvBGe@p@oC_@yBcCdAWpB{B~B_FYwAaBLv@Q@Cs@eAb@mEiB_@iB{@j@eBUUVQ[S^QWQn@o@RsCmAgB|BsA\e@vA_AXCbAa@b@NCW~@F|@WLUfBg@Z?x@u@JFToCdDaAdBPTw@v@UQTJSTSCT\Wc@?d@Q`@a@CGj@o@JRF}@`@HTk@BVPEh@MVQ?REE^u@VU~@mAGc@vAL@]`@k@RXE}@~@ETPBuFcAyBjCsCDHZ]tA{ATeAjBw@\_@rA\@FJGZ@_AFj@aASZ@g@|@_@GSt@]c@{@LW?w@a@eB^KSTI}@uAcAXi@o@c@JKw@[To@k@m@F[aAu@Y}EdAGU@Vq@NyBMu@u@sALGiAgAa@Oc@NQs@Ze@S?Yk@@Ck@q@AGa@j@]}@i@PsAoAMRmBz@wBAy@\LQf@BDJy@YRi@cE`@wJq@gBVwAIw@e@AGe@b@kA?eBn@]l@iCk@wCtA_EzAaBx@gDWeEf@aEmAaDg@S}Dr@o@jBiBNyAuCg@kG~@}@fDfAp@fAv@MZd@`@wAl@j@p@U~@gB`A@`CgAnDdAjAu@Zz@bBdA~@[r@aBx@GIpDh@Dl@|ApA`@l@~@R~@n@T`DSJg@rC@n@z@lBx@b@zDx@PrAGe@cBReBt@aB[iAk@OWu@\Uj@XHm@x@\h@sAzBkARyErA{AbBu@G|@dAMjByCr@Od@rA|CrB~DeA\a@nAT|@{AhAe@HpAd@\Up@XlGSz@LhF`BoAF{Af@gAnCKl@cA|AtADi@RBIv@ZvC`@@r@dApAJz@hFsAJjBl@qAAp@HnAnAbBe@g@lAm@RdB?_Bj@v@BV`@hCIj@g@?sAg@s@JuATpAtACAhAb@f@Gd@\d@Tz@Az@n@r@k@ROjCbARd@zAp@?f@jBdBdA`@pCn@kCvAk@j@JPh@GhBa@vAJbAdD_CZFJdA~A~AEnAfBrAe@pDhB^~@Wp@bADlCc@nAPrA~Ak@fCSx@dAP`BfAnCbA~@`B}@v@uAtAQjAaAbAcADe@~@O,34.4616533350199,-119.711050037295,34.4615920633078,-119.710987424478,FALSE,NA,g9707381,NA,11,0,65231186,8529293408,8529293408,9E2FA37B-725F-4A22-BB68-672EAC560E7A-activity.fit,7974224733,FALSE,2022-10-16T14:18:21Z,-25200
Pretty skies and swollen pinky toes,everyone,Walk,2022-10-15T15:36:13Z,(GMT-08:00) America/Los_Angeles,1,0,0,5.61,440.94,4.6764,23.2272,6948,10322,77.76,-915.35,a7969318870,2,kxaqEboxzUOjAKTBPGt@GVAl@_@dC?ZIf@BLQ|@Cp@YnAKTa@zAm@rACRWf@IFAJa@x@?F]~@sA`Cw@~BmBzCERW`@kA`B[l@IXuAjBQb@]p@]\I\]h@B@IP@HYBOXWV@T_@R]n@KBAAXMKIE@C^ERYRKTa@\IX]l@UTAJKPe@d@y@rAOJa@x@c@j@MXBDMl@aAnBi@x@M^QLOd@uBxDYTWn@SRERS`@SVs@pAe@hAOCFBCAKNIZ_@h@AHm@v@ALWTEZc@|Au@tA_@pAs@bBk@l@YNST?GALYx@KLo@QQ_@KOQEAFWSM?FGBBGABFG?HAGCD@CBAEHDAEDBC?FECFNII?CH?IABF?I@FCCBBDCC?@?AFCCDCGHJj@TRb@TNBGVNl@_Bf@WTg@f@k@Xy@h@aA\_AdA_C`@w@d@m@v@_BFUJKRq@j@aAV_A^cATYB@EBVQFSP[\e@@E?OJMAWPUHCF_@Zc@h@uAT[j@e@BU\[Zq@ZS^_AZ]`@{@^g@H[r@eADMb@]DOZ]Po@ZUH_@B_@LBPOAEVO@QHWD?L]NCR]@[FI\GXYFOBUHC\m@^a@n@sAZSd@cAzAeCNOTu@^y@h@w@nAuCPW\cA\SNUAFFCEG`@cAVs@NMPcAHOPq@Xg@X{@j@aCEKLc@Ac@PmA?k@C?DU?m@Lg@Bk@l@kE?e@J{@C_@BW@_A\wCDu@LaALo@TuBNk@GANOC?R}@LY^iCb@gCb@iBbBgE|AsC@M`@_@BMTWAIXcAVi@X[V_AT]BWE?HDJSAEHCIGDa@L@ZUFQHGCEFICILQ@ScAMqARURQBCEy@B[Ge@?QG{B@y@JKIK?EIe@B_@IYYSKGO]][s@GEQe@i@}@Mi@Wi@Ce@EIFQAUWA]VQ@c@_@[CGc@MKIQESAa@Fu@LYp@MRM@GA}@DOGIAc@CAA[I]BSCe@FU?YEQ?g@GMMmAWeAE_@D}@FGVo@d@q@DW@c@Kg@@QEg@GWv@u@I[@o@OoANs@DKB[FIACTY?OLMXMBI@B@QLIJo@dAaAJSN[@]Ac@MWm@q@q@g@Uc@OK@KCESK[k@OkBDSEUBKEGAc@Qs@@UIg@ECAs@GIDOC_@,34.4205535948277,-119.896173002198,34.423382487148,-119.872247446328,FALSE,NA,g9707381,NA,6,2,65231186,8522775861,8522775861,1A5DE64D-E653-4F6E-AF95-79F64ED98BC2-activity.fit,7969318870,FALSE,2022-10-15T22:36:13Z,-25200
Levi stick thwaps & one lean bean,everyone,Hike,2022-10-14T06:11:28Z,(GMT-08:00) America/Los_Angeles,2,0,0,5.63,1316.27,5.5656,10.828800000000001,5855,6888,2220.47,964.9,a7962075848,2,ijjqEfltyUYR]@[w@QKy@eBUkAAe@]q@c@Y]CEFF?Q?ORg@Js@Qs@\YBMwADYTUF}@MoBm@g@AQo@Ve@Dk@_@i@M?_@T_@Py@Eu@e@u@o@MKQDiAGS_@g@k@WMSWmASDQV_@L}@|@}@PIo@VYZeAKkAHG?QK[Ye@{@AEWJKCSmAo@]cAcASQQAW`AUZa@@o@OKc@FK[r@y@Bo@S}@s@iACYL[Ka@Di@K[a@W}@HEk@KMq@R[mBg@OGg@Pi@@o@Qs@I?A_@HB?STWCUg@{@?a@ZUh@@b@}BRMNHL^FtAj@|@d@_@b@EDWy@wBAo@TgAVc@f@uBZYLBb@pBl@DXEFSGOk@WFYl@Br@q@nAJRLn@|BlAr@NA@O]EOWIi@DA]qADg@_@q@Kk@Ry@Gy@LSBOGCHI_@o@eAs@[]Iw@c@u@Uw@UHi@v@kAFwCjCs@T@I?LBIGDc@e@k@KIUBYr@]v@q@Vk@?[m@cB}@KSc@k@c@HgBKg@MOCYPMCJ@SIBANBOAJD@AGF@KCDIALIEFIHDANCM@NO@P`ALL?tBFLVDb@f@j@Ff@dAJn@Gb@SXu@r@s@RGTDPd@HXN\`@NAbAu@n@o@NCr@u@xAOJIG?JSPEDWJDt@dBVjAp@Rl@n@Vl@AVSp@H\Op@Dt@RRPXA`AJ`@AKGDFAEDFFHv@r@p@YRS[u@YS[Ag@Qk@Wa@cBIKLO^{@?CNFPh@HHVWT}@?IOG}@[k@MCi@tAe@bBSfAJ|@d@t@B|@ELg@@a@ZKAIc@Ya@EoA]c@SVBLi@jBq@ESP@`@j@n@D^]t@ZhAOzABd@HL`@?JtAJRN@\SRP?TLLPDj@Ob@l@B^Kf@LVGl@\t@`@p@@dAs@lAHPx@?I?Db@Yt@}@NGVz@Rl@`@Np@hAp@FNCn@v@GNHTz@Ep@Dd@Ed@a@lAATNZVGVo@^If@k@b@SXBZvAj@Pd@r@AvALPl@Jh@x@Fj@k@jBFZfB^l@UPFh@x@NjBEp@a@fANlAP@T]j@Sd@\|Aq@N@|@lAVhBbA~BJ@CCFJAJ\d@^A,34.4638749584556,-119.712303634733,34.4640359748155,-119.712284356356,FALSE,NA,NA,NA,9,0,65231186,8514605937,8514605937,155DB6A4-14F3-437F-A2FC-DB5899E5E787-activity.fit,7962075848,FALSE,2022-10-14T13:11:28Z,-25200
Hard to be a TunaB,everyone,Hike,2022-10-07T06:22:09Z,(GMT-08:00) America/Los_Angeles,2,1,0,6.53,1390.42,5.6628,23.6016,6677,7314,2277.56,855.64,a7925911649,2,ekhqEbu|xUCE?N[ZU?s@j@]Li@FYPyADWJGGCr@OCWKJNIHyALM\WH]SNq@M}@Ua@sDcDTq@`@M^Av@THI~@Pj@|@HIlAx@X@n@o@b@GXWBu@H_@t@WLeA\Ix@[LSQiAk@c@[aAAa@p@q@D[]s@KcA@L@M~@_Av@Eb@_@s@gAIc@Bu@Gy@c@_@CSBy@Ey@FoAbBa@bAk@vAFf@Vb@Bj@OR_@m@gAeAkAE{@FW`BeAVe@?Um@Sy@s@q@Mi@_AA]Zu@G_@S[uAw@MuAMWeAByBsDk@Mi@^c@zAYVSd@DEWGIUYUSAQL}@bDKv@u@Xm@f@e@bAQnAu@bAmAV[`BFCEEBFEEITm@Am@Y]Ba@f@yAJy@~@o@X?^Xt@Zb@ZLf@l@Xd@Lh@Oh@UPy@|AIf@w@^CVAt@J`AOXoBdAm@j@[F_@Wm@gAc@Yy@_@s@Go@c@_@@ErCI`@m@NBBKP_@Ri@j@@n@YtAkABgA}@UEm@RB\UPk@@cAz@yA\g@d@oAPu@l@_@IWi@k@M}AJUH{AeAsBHo@SWc@EWBgAKiACgADg@DLBKI@HCMgA?cBc@]WFYGi@m@W@UZj@bAKfAy@bASd@QLq@Kg@@QNVn@Al@JZ@lAILNrAMf@BFw@F[Qq@Iu@LATRTL|@Mf@]l@BjAk@v@a@NQj@WLi@CIZB~@Q`@gBbAMVC\z@Xf@d@Vl@@r@VJTQHY?LTKONCMLAIHCQTEXc@XKX]N_AVe@vAOr@Y_A@GIc@EcBBAWPKJFF[jBEh@_@`ACVBTZDZVTBIW[Q}Cb@OXSKC?MXE`AmBd@UdAKDGQDGIBOL@LUXBPZFEh@VnA~@rANd@RbBh@NGU?h@PJTJHNSDZ[d@VCARNZEETU\RrBo@LQD@OJl@LFWb@Sp@d@`@AFQLHnAAb@UELVEALd@UJLv@DFLHS`@FEUHI?QLCMJCIBQjAIDS\ZFGVJPGHUTHf@GdAp@VAHKHPtBRj@d@|BJ^ZdFd@CFVLZIDQ?g@PMHo@P]Ca@NJHRtAUDSIPD@JSJNAp@|@h@fB`BVl@Lx@Mv@JN`Ak@?Ml@k@CD^VJGMQj@L@]HOrAAd@U|A]DDx@i@~@u@lCaADMFE,34.4531853497028,-119.590723961592,34.4525508396327,-119.590932419524,FALSE,NA,NA,NA,7,1,65231186,8473721630,8473721630,E2F62E73-D6B4-4B75-9DFE-37CA0D0E4AC8-activity.fit,7925911649,FALSE,2022-10-07T13:22:09Z,-25200
"What the heck Mother Nature, u beautiful as helllllll",everyone,Hike,2022-10-01T06:39:43Z,(GMT-08:00) America/Los_Angeles,2,2,0,19.61,4032.48,5.3568,23.2848,21216,24320,4454.72,1183.73,a7896606178,2,gx|qEjx_zU_H_BqD_FyEWwA{@oBXHgDaEuDoAaD_@wFdA{E{@eFmAL@wAyFsDb@yDm@sCwAeBDaBgAkAoC]sDsKeDb@gEm@qA`B}B{DeCaAqANyAeAqAfBw@wAn@cAgBXKdAk@eBc@hAu@cHmAQeCdC}@AsA{@FoA{BfBc@k@UgBgCx@yDmCe@kBoAA{B_BuAeFw@q@wBzB_BwCiAqAgBw@cFr@w@yENaBy@c@GwBn@}BtAcA}AkF}CkBqByHgDaAjAG^cBq@|@}CWeEfE_Dp@}E}@Uj@n@fFOnC}CPaA|@k@c@z@e@mAq@{EaA_@rAj@vEYlBgDoDeC]UxBcCr@a@jBkAVKnEq@dA{GCuDpAdBrF@`Fg@rBcExEDpY_CrGJxGo@fCp@xFPlA`@Uk@a@}@oGp@sCIsG~BuGBeMaAyI\mCdA_B_Ad@~@}BoAv@Nk@c@Va@y@oBkIwCsKhC?vCcMsC~LwCKcA}BSsIJlAu@@r@PTpCwBfALqA}CsBsA}JXu@AfCr@IEzAu@`@b@?|@hFbFLU}AwBaAy@wD~EeI~@uHQgC~GaPg@qChCy@`CiFhDaCf@{BbB{@T{@s@yCrCiB{@S`Fl@dEcHSkAiAc@iInCmAuD`C|A~KmKdHaMvDpAvC}@cAmAqBRs@oBdDaU]_L~AqBz@uDhCyCxAfAGxB}BvEk@jEb@`Gv@bF|@mAdCgHzEDrBsAhFuQq@oDfBgFzC_AnCcFbFaFX|AYfCcFzCk@xAZdCBbHa@dCuExCl@pGf@rC~BbDkAeDR{Ai@uFnGkBB`@eEhB~AjDDlBhEYm@|BlB`@nC]fA`AhBa@A~Cr@vAO|CrAxDhCzBjGeBbDhAtCpJMxLs@|ApAbFxF}FbBiGdEpAx@vCxE~G`D^|BaA~@qBp@@o@bFh@rGx@r@HtBfAzAhFjBhA`FBjB}@hAKxBwAfCAdAlChBf@tClAtBvDLOf@iEf@lCfE^xC@zEw@pCfDdBLzCbA~B`Gp@t@uAvAtC{EvAqAu@cA^{@cAkDV{DsEKpB}DtAuBpCy@wASkA{@lFqDvCjAmEoAkAUoDaAx@qBk@qHdAxBrEUzJbAtBa@`AdBf@Zx@RjEc@f@@`Fq@b@DvBfFnAzBxDpA_BdEn@lDi@lDtKtC\`ArAA~AtA`Bn@pCe@xDxFlDA|AnAJt@nEaAvEZfFpAtDhEfESrCjB]bBlAdEAnBzAnAlC`H~A,34.5574375335127,-119.771277280524,34.5574478432536,-119.771268898621,FALSE,NA,NA,NA,15,1,65231186,8440673398,8440673398,17C7C21F-BAE3-461F-A031-BB1146921E47-activity.fit,7896606178,FALSE,2022-10-01T13:39:43Z,-25200
Light always shines on AP ✨,everyone,Hike,2022-09-29T06:10:20Z,(GMT-08:00) America/Los_Angeles,2,0,0,5.94,1340.55,5.6052,24.8184,6145,6774,2220.47,972.77,a7885230943,2,okjqExltyUMBOg@EFI[SEUg@FAG@@Wi@gA_@uBe@i@]KyAn@i@W_Ap@QKQcA^yAHAAa@ScCu@g@c@Ps@?WQs@Q?]\e@P}@Gs@s@o@g@MIc@D{@a@o@s@g@[sA]FaAr@ER{Ab@Io@b@w@F_@@_C[i@aAA?s@KU_Aa@Ss@OOuAi@F_@p@@Z_@Hm@GYe@DMSD[f@e@Fu@Qq@q@iAE}Ce@[s@PSq@QKm@HQq@Ey@o@QAg@LkAQ_BXq@m@kA?]RMt@BD}@Ru@c@~Bo@OOP@f@b@XNf@In@UCALTg@?a@g@u@?i@POn@JJeATw@RSb@JDx@KDFb@d@b@?XNRCA^a@b@@FYQeAc@{@E]RkAXkAXa@Jy@`@ULB`@hBf@J^GFOm@k@BWd@Hp@s@dBH~@pChAl@NIEQe@U[oB?o@c@w@Ga@LiAEm@Pe@?Y}@oAu@_@gAmDW@Wd@_@XaA?g@r@}CnBFNIUCLLHk@i@N_@_@LCKFFg@ECk@hAm@r@y@@w@i@{Au@EeAgAEWH]IYD[SqALOB@ICCL?MDR?SIH@KH?AVBSGR?KD?KRLd@@lBLp@ZJd@p@Z?^V`@nAGn@eAnAy@H?x@x@N`@d@nBaB`@Mt@w@rAMf@{@XDhApDNPp@Lp@rAW|@Nd@Ux@Hv@b@h@?hAXtAVd@XLWNQY_Ae@}@eCm@A[Qa@LSf@q@IIHBTj@V@VWLy@E_@eBUMYb@BN}@vCQ`ADh@`@fAHdAMH_@IY\WQCa@Sk@QYAu@QQONm@rCc@[SHGh@b@f@F`@A^Wf@V|@?l@Or@Jn@d@BFfARd@p@S^|@n@Ob@`@H`@GZHn@Cv@t@bANv@It@k@|@FNr@CDTId@U\u@JOVDLn@Bl@d@Pt@^XZBT^Ed@FLjABNtCMv@FLSNSf@R`@`@o@\Cl@}@JFALDSv@SJlATXl@T^p@EpATTn@Lb@dAg@`DNPrAJp@YRBl@v@N~BIv@Wv@PnAVEd@k@v@ZnAe@UCr@Cp@p@`@dC\l@Pp@FKHJ?^RFBX^\,34.4641971588135,-119.712210930884,34.4641050416976,-119.712411928922,FALSE,NA,g9707381,NA,7,0,65231186,8427872263,8427872263,52A272D0-89B8-4917-BE0E-35A643838D9D-activity.fit,7885230943,FALSE,2022-09-29T13:10:20Z,-25200
Girl wants her beef 🐄,everyone,Hike,2022-09-25T08:07:44Z,(GMT-08:00) America/Los_Angeles,2,0,0,5,473.43,4.9608,12.844800000000001,5842,6926,1103.67,701.44,a7866480824,2,egiqE`abwUGZG@Q`@ADD@K?B@C?@D@GSh@WDEZZTd@f@d@DRZF@AEL^FDCJDJb@RhAz@pA\NRDRm@nEAjAMf@STSd@UXSHQE{@Ca@I]POXBZCZRRThAFNDBd@~AELu@r@?FNJ@Gd@ON@NJ?\FFGVJ^PV?TOT@@?NOd@?ZERq@z@M`@i@t@M\@VFLFn@J\`@h@@z@EdABb@\b@DAHJBJf@r@H^EPDh@CRFHAHKxADAC@Q~@D@Ch@EHQDGFYCKVJp@B\Mh@Dd@APFXj@d@Px@n@dABLBVCT]\E\DVb@b@JRB`@Zx@?RO`AD`@NTLB|@p@Hn@BrAFR\\J`Ab@h@J\AVIHUH]?KDKRET}@z@Mf@k@dEKdBCzBu@vCGb@E`AD^EDD?E?FREBRv@A\Wl@IHQp@CZB|@Ap@WRAFI@KRDv@JTXTTXI?FLC@BAEBD@EHDCAA?CAPUXIRET@ZFPTVb@NNIn@H\LLNFA|Ah@RPj@?VGNNL?`Ad@XPNXVH^MzEmE`@IDEG?@DGECF@B?GFC@B@EEC?BB@@IADBAE@BDAGC?BEECB[SKEMOMIEAFHUAiAXc@`@CTQ\g@?G^_@NAl@PxAo@Rc@VYJg@Vy@Jq@Ra@HCLFPADJn@UXPVTAHL@CNFDE??NCABEC??A@DD@?LPHJNd@SHMTMLUGU@EA@DGASDIKE@YFYP]AWM]GCEu@Pc@IOF]ACDc@BAEECo@KIESc@w@g@kAEW[q@q@]WSu@gAOs@BgADm@MkAKQKg@iBwCE_@IUE@?YE@CGGH@KBJEQBSEAESS_BL[BUJIFSFc@U{@CcAFYBuA^qATqABg@DQj@gABQ@QVI?y@DOE_ANa@LSJGJYD]CC@AE@HAE@BMCAFAAGPq@z@gBCCHQRUAMKIu@JEWRWl@IPYXy@Ag@GEBOCmBP]NLRM^g@Nq@lAoDZ}BFSJIBOZ]HWCIDA@OGGCWUe@Hs@Ca@GGSu@m@sCEGCBHBICBIADc@KsBaA}@LKGW@sATUGqA_BiB}Ai@WQQcAQQSYo@YUk@AQFECeBZFABFGDa@G[FEGeAIm@B[PU??O{@EK@_@f@QAYWKYmBo@OQ_Ak@CKOCKKMo@OOSGBDJ?CFCIu@WIW?QTYRy@`@o@,34.4587360136211,-119.290215885267,34.4587132148445,-119.290243880823,FALSE,NA,g9707381,NA,11,0,65231186,8406784918,8406784918,3AF7960F-0154-4098-9B88-4CEE0BB0D69F-activity.fit,7866480824,FALSE,2022-09-25T15:07:44Z,-25200
